web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;date;Home_team;Away_team
1572688771-1168;https://www.betexplorer.com/soccer/italy/serie-a/results/;Juventus-Spal;https://www.betexplorer.com/soccer/italy/serie-a/juventus-spal/6uUbMpl6/;;;1.18;7.84;20.95;null;Juventus;Spal
1572688762-1090;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a/torino-ac-milan/4bCvyj26/;;;2.65;3.10;2.85;null;Torino;AC Milan
1572688687-673;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/torino-lecce/YFws9Lea/;;;1.44;4.60;8.00;null;Torino;Lecce
1572688822-1457;https://www.betexplorer.com/soccer/italy/serie-a/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a/bologna-lazio/S8ctZNXB/;;;3.50;3.60;2.08;null;Bologna;Lazio
1572688907-1987;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Inter;https://www.betexplorer.com/soccer/italy/serie-a/brescia-inter/YBsbuKBr/;;;7.50;4.80;1.40;null;Brescia;Inter
1572688736-964;https://www.betexplorer.com/soccer/italy/serie-a/results/;Spal-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/spal-lecce/je8zxWn0/;;;2.12;3.34;3.85;null;Spal;Lecce
1572688789-1275;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Verona;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-verona/OGvfNQYa/;;;2.25;3.20;3.35;null;Cagliari;Verona
1572688655-453;https://www.betexplorer.com/soccer/italy/serie-a/results/;Atalanta-Torino;https://www.betexplorer.com/soccer/italy/serie-a/atalanta-torino/QTxTrPsf/;;;1.60;4.10;6.25;null;Atalanta;Torino
1572688780-1231;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/lecce-as-roma/E5X6KOII/;;;4.80;4.10;1.65;null;Lecce;AS Roma
1572688677-613;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a/genoa-atalanta/WnHBgtdC/;;;3.55;3.45;2.14;null;Genoa;Atalanta
1572688784-1244;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/lazio-genoa/KrY2L43C/;;;1.36;5.45;8.15;null;Lazio;Genoa
1572688855-1672;https://www.betexplorer.com/soccer/italy/serie-a/results/;Parma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/parma-genoa/vN7zmBDi/;;;2.62;3.10;2.80;null;Parma;Genoa
1572688866-1724;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/brescia-fiorentina/p6qCns2B/;;;4.32;3.77;1.74;null;Brescia;Fiorentina
1572688610-169;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-Lazio;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-lazio/KxcbTqr7/;;;3.70;3.30;2.10;null;Sampdoria;Lazio
1572688718-873;https://www.betexplorer.com/soccer/italy/serie-a/results/;Bologna-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/bologna-as-roma/YkjPP4x8/;;;2.70;3.50;2.55;null;Bologna;AS Roma
1572688866-1734;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/brescia-fiorentina/p6qCns2B/;;;4.40;3.85;1.77;null;Brescia;Fiorentina
1572688690-684;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-genoa/xOG5Ydt8/;;;2.95;3.20;2.35;null;Cagliari;Genoa
1572688777-1208;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/napoli-brescia/UDFgrSAP/;;;1.22;7.00;13.00;null;Napoli;Brescia
1572688681-621;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/brescia-bologna/xlO2e2Ra/;;;3.70;3.60;2.06;null;Brescia;Bologna
1572688816-1414;https://www.betexplorer.com/soccer/italy/serie-a/results/;Inter-Juventus;https://www.betexplorer.com/soccer/italy/serie-a/inter-juventus/IwQ2jP2n/;;;2.95;3.15;2.67;null;Inter;Juventus
1572688726-892;https://www.betexplorer.com/soccer/italy/serie-a/results/;Atalanta-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/atalanta-fiorentina/KnnLQpN1/;;;2.10;3.50;3.40;null;Atalanta;Fiorentina
1572688632-292;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-brescia/jXLjb4ss/;;;1.53;3.70;7.00;null;AC Milan;Brescia
1572688619-200;https://www.betexplorer.com/soccer/italy/serie-a/results/;AS Roma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/as-roma-genoa/QFcfUPS0/;;;1.67;3.55;5.10;null;AS Roma;Genoa
1572688889-1887;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Lazio;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-lazio/E1ROQKdk/;;;2.50;3.35;2.80;null;Fiorentina;Lazio
1572688593-66;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-napoli/b1sElfEF/;;;4.00;3.40;1.78;null;Fiorentina;Napoli
1572688625-263;https://www.betexplorer.com/soccer/italy/serie-a/results/;Bologna-Spal;https://www.betexplorer.com/soccer/italy/serie-a/bologna-spal/KjxXsqc0/;;;1.78;3.50;4.80;null;Bologna;Spal
1572688687-669;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/torino-lecce/YFws9Lea/;;;1.46;4.62;6.85;null;Torino;Lecce
1572688632-308;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-brescia/jXLjb4ss/;;;1.50;3.60;6.25;null;AC Milan;Brescia
1572688784-1251;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/lazio-genoa/KrY2L43C/;;;1.36;5.44;8.80;null;Lazio;Genoa
1572688882-1847;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a/torino-cagliari/W2eWq03R/;;;1.80;3.65;4.50;null;Torino;Cagliari
