web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572692329-16159;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-spal/hn1LmTX0/;;;2.25;3.05;3.55;Crotone;Spal
1572691753-12517;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-spal/8Q36zkN3/;null;null;1.15;8.50;19.00;Juventus;Spal
1572692732-18833;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-sampdoria/G0WfSUO6/;;;1.80;3.50;4.50;Spal;Sampdoria
1572692043-14384;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-atalanta/fsUWMpBf/;;;2.55;3.30;2.75;AC Milan;Atalanta
1572691943-13721;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-inter/hWM2JB42/;;;1.87;3.35;4.45;Juventus;Inter
1572692024-14263;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-inter/ENf2xQAs/;;;4.80;3.65;1.72;Sassuolo;Inter
1572692361-16352;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-udinese/2yBcMmvQ/;;;1.22;5.80;16.00;Juventus;Udinese
1572691975-13920;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-atalanta/vTYKfSR1/;;;3.20;3.29;2.25;Genoa;Atalanta
1572691634-11734;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-atalanta/t45hhKmD/;;;2.35;3.20;3.20;Fiorentina;Atalanta
1572691603-11525;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-crotone/617K7vW2/;;;1.33;4.50;10.00;Atalanta;Crotone
1572692585-17809;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-atalanta/IRkWufhD/;;;6.00;4.40;1.55;Benevento;Atalanta
1572691996-14079;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-chievo/hE7175B7/;null;null;3.00;3.05;2.50;Crotone;Chievo
1572692688-18518;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-as-roma/EZK211Kj/;null;null;5.75;4.25;1.53;Cagliari;AS Roma
1572691863-13271;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-sassuolo/EPcsgfZa/;null;null;3.20;3.40;2.20;Benevento;Sassuolo
1572692021-14240;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-torino/8pf6ypQm/;;;3.15;3.35;2.23;Spal;Torino
