start;url;match;href;Bookmakers: 21;Bookie;Home;Draw;Away;Home_team;Away_team
1572704517-36053;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Palermo-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/palermo-verona/E3EuBLLi/;;;1.20;6.50;10.50;Palermo;Verona
1572704224-33925;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Udinese-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/udinese-as-roma/d8iFg5YQ/;null;null;4.85;3.72;1.87;Udinese;AS Roma
1572703524-29267;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/verona-udinese/U3E1LPo4/;;;2.40;3.20;3.05;Verona;Udinese
1572704026-32627;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-napoli/Q5bhPs6L/;;;3.80;3.30;2.00;Lazio;Napoli
1572704483-35825;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Frosinone-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/frosinone-sassuolo/OKAlvuiU/;;;5.40;4.36;1.65;Frosinone;Sassuolo
1572703541-29395;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Frosinone-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/frosinone-sampdoria/Kh7EINVM/;;;2.54;3.30;2.83;Frosinone;Sampdoria
1572703916-31884;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Napoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/napoli-sassuolo/AuyT1m8c/;null;null;1.33;5.60;9.50;Napoli;Sassuolo
1572703584-29665;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Bologna-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/bologna-inter/p4S1vvhq/;null;null;4.90;3.60;1.79;Bologna;Inter
1572704009-32513;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/ac-milan-inter/vkdtSqM2/;;;2.60;3.00;3.00;AC Milan;Inter
1572704318-34638;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-atalanta/4dstTvPn/;null;null;2.00;3.42;4.60;Torino;Atalanta
1572704200-33774;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Genoa-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/genoa-empoli/dUQZffD3/;null;null;2.05;3.25;3.90;Genoa;Empoli
1572703511-29181;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Empoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/empoli-sassuolo/AmJR8n2b/;;;2.42;3.40;3.00;Empoli;Sassuolo
1572703451-28798;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Napoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/napoli-juventus/z9PcMpF0/;;;2.30;3.10;3.10;Napoli;Juventus
1572703340-28071;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Carpi-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/carpi-inter/EoHPVimj/;;;6.88;3.78;1.53;Carpi;Inter
1572704412-35288;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sampdoria-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sampdoria-lazio/QueKp4jk/;null;null;3.10;3.30;2.25;Sampdoria;Lazio
1572704524-36101;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/genoa-atalanta/Y7ygmITp/;;;1.59;4.58;5.80;Genoa;Atalanta
1572704433-35459;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AS Roma-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/as-roma-napoli/EmdthnbF/;null;null;2.70;3.25;2.70;AS Roma;Napoli
