match;date;result;Home_team;Away_team
Napoli-Lazio;31/05/2015;02-apr;Napoli;Lazio
Udinese-Empoli;31/08/2014;2-0;Udinese;Empoli
Empoli-Chievo;22/02/2015;3-0;Empoli;Chievo
Palermo-Fiorentina;24/05/2015;02-mar;Palermo;Fiorentina
Napoli-Verona;26/10/2014;06-feb;Napoli;Verona
Empoli-Udinese;26/01/2015;01-feb;Empoli;Udinese
Inter-Sassuolo;14/09/2014;7-0;Inter;Sassuolo
Verona-AC Milan;19/10/2014;01-mar;Verona;AC Milan
Sassuolo-Verona;29/11/2014;02-gen;Sassuolo;Verona
Fiorentina-AC Milan;16/03/2015;02-gen;Fiorentina;AC Milan
Inter-Fiorentina;01/03/2015;0-1;Inter;Fiorentina
Lazio-Fiorentina;09/03/2015;4-0;Lazio;Fiorentina
Juventus-AS Roma;05/10/2014;03-feb;Juventus;AS Roma
AC Milan-Genoa;29/04/2015;01-mar;AC Milan;Genoa
Verona-Sassuolo;26/04/2015;03-feb;Verona;Sassuolo
Torino-AS Roma;12/04/2015;01-gen;Torino;AS Roma
AS Roma-Verona;27/09/2014;2-0;AS Roma;Verona
Palermo-Cesena;19/10/2014;02-gen;Palermo;Cesena
Parma-Palermo;26/04/2015;1-0;Parma;Palermo
Genoa-Verona;15/02/2015;05-feb;Genoa;Verona
Genoa-Juventus;29/10/2014;1-0;Genoa;Juventus
Palermo-Lazio;29/09/2014;0-4;Palermo;Lazio
Juventus-Lazio;18/04/2015;2-0;Juventus;Lazio
Juventus-Cagliari;09/05/2015;01-gen;Juventus;Cagliari
Sampdoria-Chievo;24/09/2014;02-gen;Sampdoria;Chievo
Juventus-AC Milan;07/02/2015;03-gen;Juventus;AC Milan
Parma-Cagliari;14/12/2014;0-0;Parma;Cagliari
Sampdoria-Genoa;24/02/2015;01-gen;Sampdoria;Genoa
Fiorentina-Atalanta;08/02/2015;03-feb;Fiorentina;Atalanta
Fiorentina-AS Roma;25/01/2015;01-gen;Fiorentina;AS Roma
Sampdoria-Atalanta;05/10/2014;1-0;Sampdoria;Atalanta
Empoli-Torino;15/12/2014;0-0;Empoli;Torino
Chievo-Udinese;19/04/2015;01-gen;Chievo;Udinese
Lazio-Udinese;25/09/2014;0-1;Lazio;Udinese
Fiorentina-Verona;20/04/2015;0-1;Fiorentina;Verona
Chievo-Fiorentina;18/01/2015;01-feb;Chievo;Fiorentina
Genoa-Palermo;24/11/2014;01-gen;Genoa;Palermo
Sampdoria-Cagliari;07/03/2015;2-0;Sampdoria;Cagliari
AC Milan-Verona;07/03/2015;02-feb;AC Milan;Verona
Juventus-Empoli;04/04/2015;2-0;Juventus;Empoli
Chievo-Torino;06/01/2015;0-0;Chievo;Torino
Sassuolo-Atalanta;08/11/2014;0-0;Sassuolo;Atalanta
Lazio-Palermo;22/02/2015;02-gen;Lazio;Palermo
Chievo-Parma;21/09/2014;02-mar;Chievo;Parma
Fiorentina-Chievo;31/05/2015;3-0;Fiorentina;Chievo
