"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"338","Sampdoria-Torino",2.85130434782609,3.12913043478261,2.62217391304348,3,3.25,2.71,"1-4","04/11/2018",0.350716681915218,0.381362958050074,0.319577601778519,0.333333333333333,0.3690036900369,0.307692307692308,"2"
"339","Frosinone-Udinese",3.73318181818182,3.29590909090909,2.08590909090909,4.06,3.46,2.17,"1-3","12/05/2019",0.26786801412395,0.479407278274134,0.303406426699766,0.246305418719212,0.460829493087558,0.289017341040462,"2"
"340","Cagliari-Spal",2.11454545454545,3.04863636363636,3.99909090909091,2.18,3.27,4.58,"2-1","07/04/2019",0.472914875322443,0.250056831097977,0.328015506187566,0.458715596330275,0.218340611353712,0.305810397553517,"1"
"341","Genoa-AS Roma",3.27954545454545,3.28863636363636,2.26590909090909,3.66,3.54,2.34,"1-1","05/05/2019",0.304920304920305,0.441323971915747,0.304077401520387,0.273224043715847,0.427350427350427,0.282485875706215,"X"
"342","Empoli-Fiorentina",2.45318181818182,3.60409090909091,2.72590909090909,2.66,3.75,2.81,"1-0","05/05/2019",0.40763387066889,0.366850091712523,0.277462479505612,0.37593984962406,0.355871886120996,0.266666666666667,"1"
"343","Chievo-Udinese",2.83434782608696,3.04130434782609,2.71086956521739,3,3.15,2.88,"0-2","23/09/2018",0.352814848903206,0.368885324779471,0.328806290207291,0.333333333333333,0.347222222222222,0.317460317460317,"2"
"344","Udinese-Juventus",10.76,5.0704347826087,1.31304347826087,12.24,5.37,1.35,"0-2","06/10/2018",0.0929368029739777,0.76158940397351,0.197221745841193,0.0816993464052288,0.740740740740741,0.186219739292365,"2"
"345","Lazio-Genoa",1.44608695652174,4.43217391304348,7.36913043478261,1.48,4.75,8.9,"4-1","23/09/2018",0.691521346963319,0.135701221310992,0.225622915440455,0.675675675675676,0.112359550561798,0.210526315789474,"1"
"346","AC Milan-Juventus",4.97869565217391,3.59130434782609,1.75,5.42,3.8,1.8,"0-2","11/11/2018",0.200855820452362,0.571428571428571,0.278450363196126,0.18450184501845,0.555555555555556,0.263157894736842,"2"
"347","AS Roma-Torino",1.61863636363636,4.00727272727273,5.47727272727273,1.67,4.2,6.05,"3-2","19/01/2019",0.617803987643922,0.182572614107884,0.249546279491833,0.598802395209581,0.165289256198347,0.238095238095238,"1"
"348","Torino-Juventus",6.70045454545455,3.71590909090909,1.58181818181818,7.8,3.9,1.61,"0-1","15/12/2018",0.149243606268231,0.632183908045978,0.269113149847095,0.128205128205128,0.62111801242236,0.256410256410256,"2"
"349","Spal-Udinese",2.30681818181818,3.03727272727273,3.44454545454545,2.38,3.11,3.61,"0-0","26/12/2018",0.433497536945813,0.290314067036158,0.329242741694103,0.420168067226891,0.277008310249307,0.321543408360129,"X"
"350","AS Roma-AC Milan",2.20636363636364,3.40681818181818,3.285,2.3,3.55,3.45,"1-1","03/02/2019",0.453234445817881,0.30441400304414,0.293529019346231,0.434782608695652,0.289855072463768,0.28169014084507,"X"
"351","Empoli-Sassuolo",2.59318181818182,3.31772727272727,2.73545454545455,2.72,3.44,2.88,"3-0","17/02/2019",0.385626643295355,0.365569956796277,0.301411152212632,0.367647058823529,0.347222222222222,0.290697674418605,"1"
"352","Atalanta-Sampdoria",1.55347826086957,4.16304347826087,5.98,1.7,4.33,7,"0-1","07/10/2018",0.643716764623564,0.167224080267559,0.240208877284595,0.588235294117647,0.142857142857143,0.23094688221709,"2"
"353","Spal-Juventus",3.57,2.91272727272727,2.34818181818182,4.2,3.1,2.51,"2-1","13/04/2019",0.280112044817927,0.425861401471157,0.343320848938827,0.238095238095238,0.398406374501992,0.32258064516129,"1"
"354","Frosinone-AS Roma",7.68409090909091,4.63681818181818,1.41318181818182,8.6,4.82,1.45,"2-3","23/02/2019",0.13013901212659,0.707623029913154,0.215665130869523,0.116279069767442,0.689655172413793,0.20746887966805,"2"
"355","Torino-Parma",1.47478260869565,4.19347826086956,7.52695652173913,1.5,4.6,8.6,"1-2","10/11/2018",0.67806603773585,0.132855822550832,0.238465526179368,0.666666666666667,0.116279069767442,0.217391304347826,"2"
"356","AC Milan-Chievo",1.21304347826087,6.40130434782609,13.8878260869565,1.3,6.75,15.5,"3-1","07/10/2018",0.824372759856631,0.0720055099868513,0.156218162059363,0.769230769230769,0.0645161290322581,0.148148148148148,"1"
"357","Empoli-Spal",2.21272727272727,3.22818181818182,3.45681818181818,2.3,3.38,3.7,"2-4","20/04/2019",0.451930977814298,0.289283366206443,0.309771895240777,0.434782608695652,0.27027027027027,0.29585798816568,"2"
"358","AS Roma-Chievo",1.21739130434783,6.60652173913043,12.6982608695652,1.25,7.11,15.73,"2-2","16/09/2018",0.821428571428569,0.0787509415873452,0.151365580783152,0.8,0.0635727908455181,0.140646976090014,"X"
"359","Udinese-Lazio",3.93304347826087,3.3595652173913,1.9995652173913,4.2,3.65,2.08,"1-2","26/09/2018",0.254256024762326,0.500108719286803,0.297657564384626,0.238095238095238,0.480769230769231,0.273972602739726,"2"
"360","Atalanta-Inter",2.76130434782609,3.3804347826087,2.53826086956522,2.88,3.49,2.63,"4-1","11/11/2018",0.362147693276649,0.39397053785543,0.295819935691318,0.347222222222222,0.380228136882129,0.286532951289398,"1"
"361","Chievo-Juventus",15.8991304347826,6.17565217391304,1.21,20.95,6.55,1.25,"2-3","18/08/2018",0.0628965215488952,0.826446280991736,0.16192621796677,0.0477326968973747,0.8,0.152671755725191,"2"
"362","Frosinone-Torino",4.08272727272727,3.04545454545455,2.08727272727273,4.33,3.12,2.15,"1-2","10/03/2019",0.244934313070586,0.479094076655052,0.328358208955223,0.23094688221709,0.465116279069767,0.32051282051282,"2"
"363","Spal-AS Roma",3.75727272727273,3.31318181818182,2.07045454545455,4.46,3.5,2.21,"2-1","16/03/2019",0.266150496007742,0.482985729967068,0.301824667306901,0.224215246636771,0.452488687782805,0.285714285714286,"1"
"364","AS Roma-Empoli",1.53045454545455,4.35727272727273,5.90545454545455,1.56,4.5,6.6,"2-1","11/03/2019",0.653400653400651,0.169334975369458,0.229501356144377,0.641025641025641,0.151515151515152,0.222222222222222,"1"
"365","Sampdoria-Atalanta",3.72636363636364,3.48818181818182,2.01545454545455,3.95,3.6,2.1,"1-2","10/03/2019",0.268358136130763,0.496165990076679,0.286682303883242,0.253164556962025,0.476190476190476,0.277777777777778,"2"
"366","Inter-Genoa",1.37260869565217,4.70173913043478,8.86608695652174,1.4,5,10.5,"5-0","03/11/2018",0.728539752929999,0.112789329148686,0.212687257259109,0.714285714285714,0.0952380952380952,0.2,"1"
"367","Napoli-Genoa",1.28227272727273,5.54136363636364,11.2968181818182,1.33,5.9,13,"1-1","07/04/2019",0.779865295994327,0.0885205005431938,0.180460995816586,0.75187969924812,0.0769230769230769,0.169491525423729,"X"
"368","Atalanta-Torino",1.70739130434783,3.82260869565217,4.89173913043478,1.85,4.16,5.25,"0-0","26/09/2018",0.585688820982937,0.204426273220158,0.261601455868972,0.54054054054054,0.19047619047619,0.240384615384615,"X"
"369","Parma-Frosinone",2.05304347826087,3.3695652173913,3.72652173913043,2.14,3.52,3.9,"0-0","04/11/2018",0.487081745023295,0.268346750670867,0.296774193548387,0.467289719626168,0.256410256410256,0.284090909090909,"X"
