start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701191-22629;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-ac-milan/xni8BdpG/;;;1.65;4.00;5.30;AS Roma;AC Milan
1572701073-21846;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-fiorentina/KYMGRgIN/;;;3.80;3.30;2.07;Empoli;Fiorentina
1572700932-20945;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-napoli/48qoHWub/;;;9.00;5.00;1.33;Crotone;Napoli
1572701658-25633;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-lazio/67WSl8cb/;;;4.70;3.90;1.72;Sassuolo;Lazio
1572701358-23699;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-sampdoria/z5L2OT5E/;;;1.66;3.75;5.40;Atalanta;Sampdoria
1572701846-26841;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-fiorentina/EqzHKFuK/;;;3.40;3.90;2.15;Sassuolo;Fiorentina
1572700965-21137;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-cagliari/jqrE6wO7/;;;1.44;4.60;7.30;Lazio;Cagliari
1572700787-19981;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-cagliari/b9Z0A66h/;null;null;1.21;6.40;15.00;Juventus;Cagliari
1572701611-25319;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-cagliari/A7wMZyhf/;;;1.38;4.75;7.95;Fiorentina;Cagliari
1572700865-20494;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-genoa/nViIhdct/;;;2.56;3.14;3.00;Bologna;Genoa
